Post URL,Time (UTC),Post Content
2023-10-25 02:21:22,https://www.tradingview.com/chart/chart/TSLA/gaxzshL1-Tesla-Update-iv-has-begun-on-schedule/,"Today went pretty much how I thought it would go. We rose to the $217 area and then started to move back down. If you were following along today, you know that was most likely the a wave and start of b wave. It is possible that was all of iv but doubtful. I expect us to drop to around the $207-$209 area before popping back up for our C wave of iv. If this plays out according, I am going to buy some puts for our wave v of (3) down. If I get the chance, I may buy some calls for this c wave but it depends on my assignment.   I work tomorrow and most likely won't be able to update very much. I will do what I can. If you have questions, feel free to refer back to my previous posts linked in the bottom or ask them on here. Give the post a like if y'all find my information useful. That's how I get the most/best outreach is when y'all like and follow me. Good luck!   Bonam Fortunam,   --Tyler"
2023-10-24 19:35:35,https://www.tradingview.com/chart/chart/SPY/QDLUYScb-Spy/,"Last post I went over the tech sectors mostly to show how they were rolling  over. Fast forward and they are still rolling over  but I think we get a 2-3% pop before we continue that slide.   Here's my reason   IXIC or Nasdaq composite  represents  the entire tech unlike NDX/QQQ which represents  only the top 100.   Late Friday  we flush within 40 points of trendline support  and Close right on top of daily 200ema.   When Monday comes if we open up above 12,900 I want to buy the dip in tech for an anticipated  2% pop in the coming week.   Vix daily chart   Closed outside weekly bollingerband   Closed out side daily bollingerbands  2 days in a row.   This type of overextension is not sustainable  on the vix. Hourly CCI is at levels where you could easily see 20% pullback   Also possible  rising wedge formed   Closed  at .5 or 50% retracement  on fib, which is 21.74  resistance   I'd like to see Vix stay below 22 to be bullish on equities   10yr/TNX   Finished  Thursday  with a hangman on the daily,  followed with more pullback on Friday.   We are about 6% extended from the 21ema. Usually  at between 5-7% extended the 10yr returns back to test the 21ema (White line)   Spy 30 Min chart  I wanted to break down The time frame to show you the price action and pattern that has formed   Remember,  anything that sells off really quick usually  forms a bullish falling wedge and if it rises fast it forms a bearish rising Wedge.   Here you can see the rising wedge formed  that i think will take us back to 428,-430.   There's so much resistance  in that  area that you have to pause on any higher targets until spy closes over 432 again.   1. Fib resistance   2. Price action resistance   3. 20sma and 21ema resistance   U see where I circled? That was a fake breakout when Powell  was speaking Thursday.   The green arrow is where we rejected at  on fridays rebound before flushing to 421.   I know I always go over  how over sold the money flow or MFI is on The ES and NQ but now it's also severely  oversold on SPY 3-4 hour money flow.   The last 3 times spy went this oversold on the 4hour money flow these moves followed within the next 2 trading sessions   March 15th 2023   Spy 384   March 16th - Spy 396   3% pop   Nov 3rd 2022   Spy 369   Nov 4th 2022   Spy 378   2%pop   Sept 27th 2022   Spy 361   Sept 28th 2022   Spy 372   3% pop.   So if I'm right we should start moving higher by Tuesday.   I'll  post my long term bear view  along with DOW, NYSE, XLV, QQQ and XLF   Tomorrow"
2023-10-24 04:46:39,https://www.tradingview.com/chart/chart/GOOGL/AK52es4B-GOOGL-Implied-move-for-earnings/,"GOOGL   Implied move for earnings   As of right now, the implied move for GOOGL earnings is wide.  It might shift a little bit with tomorrows trading session but Ill update this idea about an hour to market close.   The implied move is between 129 to 144   And right now the 30min 200 is resistance, and shes been making lower highs   One the 1D timeframe there is a severe bearish divergence and the YTD volume profile points to lower 105 (obviously out of tomorrow's range but it's down there)"
2023-10-24 05:09:53,https://www.tradingview.com/chart/chart/MSFT/nNdMGg9J-MSFT-Implied-move-for-earnings/,"MSFT   Implied move for earnings   WOW the MSFT chart is beautiful.  I havent looked at it in a few weeks and something about it is calming to my mind   This is not an in depth anlysis this is just the implied move for earnings. Which is 312.5 to 346. and RSI is right in the middle...   But I might have to spend a little more time on this chart in the next few days.   Happy trading, yall"
2023-10-23 15:58:04,https://www.tradingview.com/chart/chart/TSLA/lbVs4ReX-Tesla-Update-Retrace-Imminent/,"Our wave iii should be done and if not, only needs OML. Looking at it, I could easily see how someone could say it is in an ending diagonal structure and demands another low. This is signified by the turquoise count and has a 50/50 chance. I could also say this move down is over and we open up green tomorrow. As of now the NQ and ES opened green but that isn't really saying much.   The chart has my target boxes per the usual. We should retrace for iv next, and since wave ii was shallow and short, iv should be deep and long if the theory of alternation is to remain intact. If we either open even or red, I will most likely buy some calls in mass. The contracts I have been looking at are the 03 Nov $230 or $235 strike. We shall see what the morning brings. Good Luck everyone!   (P.S: We are on massive pos div.)    Bonam Fortunam,   --Tyler"
2023-10-24 07:45:47,https://www.tradingview.com/chart/chart/AAPL/mPNcAkas-AAPL-TWO-short-positions/,"hello guys...   as you can see appl is on the descending channel as well.   Before that made two divergences by RSI!   there are two opportunities for getting a short position and I draw it!   _______________________________   always do your research.   If you have any questions, you can write them in the comments below, and I will answer them.   And please don't forget to support this idea with your likes and comment"
2023-10-23 16:11:30,https://www.tradingview.com/chart/chart/SPY/kVgK8Jz6-SPY-QQQ-Weekly-Outlook/,"My thoughts on SPY / QQQ weekly outlook.   Overall, I am somewhat bullish, though the probs on ES1! and SPY were quite bearish.   Our bull targets on SPY are 423, 425, 428.   Our bear targets are 415, 412, 409.   Those are my immediate thoughts, just playing it day by day at this point. Let's see what we get!   Safe trades everyone!"
2023-10-23 15:15:31,https://www.tradingview.com/chart/chart/TLT/FDQJMuzI-20-Year-Treasury-Bond-Market-Perhaps-This-Is-The-End/,"US stocks surprised much of Wall Street this year with a strong run that defied decades-high interest rates and recession calls. The rally was fueled by slower inflation and hype over artificial intelligence.   But more recently, the Federal Reserve's unwavering higher-for-longer rate stance and a deepening bond-market rout have had a sobering effect on equities sentiment, with the S&P 500 index halving its year-to-date gains.   Indeed stock valuations are looking increasingly stretched, raising the risk of a correction.   One such indicator in particular is flashing   RED   - the relative valuation of stocks versus the debt market.   SPX / ICE BofA Corporate Total Return Index   In August this year, the S&P 500   SPX   climbed to levels last seen during the peak of dot-com boom, relative to an index that tracks the US corporate bond market.   The gauge is still holding near those highs, despite the recent pullback in equities.   The metric last surged this high in the spring of 2000  and that was followed by a multi-year meltdown in stocks that saw the S&P 500 crash 50% between March 2000 and October 2002.   SPX 50% Decline During 2000-2002   Another indicator that shows the richness of stocks relative to debt is the so-called equity risk premium  or the extra return on shares over government debt, which is considered a safer form of investment. The metric has plunged this year lows unseen in decades, indicating elevated stock valuations.   ""Equity risk premium is near its worst ever level going back to 1927. In the 6 instances this has occurred, the markets saw a major correction & recession/depression - 1929, 1969, 99/00, 07, 18/19, present,"" research firm MacroEdge said in a   recent post on X   (ex-Twitter).   The so-called equity risk premium (earnings yield minus bond yield) recently fell to a new cycle low and remains well below historical averages. In other words, the stock market has become more expensive relative to the bond market despite the recent pullback.   Meanwhile the main graph (quarterly Div-adjusted chart for   TLT   20+ Year Treasury Bond ETF) illustrates perhaps right there could the end for U.S. Govt Bond Market decline, with Double top as a further projected/ targeted upside price action.   Will all of that bring U.S. stock market to 50% decline like in early 2000s!?   Time will show!"
2023-10-24 17:38:44,https://www.tradingview.com/chart/chart/DKNG/ChFwgdf6-DKNG-10-13-2023/,"DKNG   Price was in an uptrend from January '23 through July '23.   It then started to move sideways between July '23 and September '23, forming lower highs into the trendline.   The uptrend was finally broken in late September '23/early October '23.   Now, the price finds itself at the resistance level of the previous uptrend and at the downtrend line created by the lower highs observed between July '23 and September '23. Additionally, there is an engulfing candlestick pattern in this area. This serves as my cue to enter a short trade.   Entry: 29.37   Stoploss: 33.56, -14.27%   Target: 20.78, +29.25%, 2.05 RR ratio"
2023-10-24 13:25:54,https://www.tradingview.com/chart/chart/COIN/t6UOn9tX-Coin-kissing-resistance-range-with-BTC-bullishness/,"Coin is another long-term entry I got in around 45$ during the bearish times. I havent found a reason to sell this stock, I did trade puts on the downtrend but we are looking to break the range today (between bottom green lines). I use purple lines as long-term areas of interest usually multi-month or year. We have smashed through the 20 SMA and RSI has a strong reversal, I am expecting > 92$ coin soon."
