Time (UTC),Post URL,Post Content
2023-10-25 02:21:22,https://www.tradingview.com/chart/chart/TSLA/gaxzshL1-Tesla-Update-iv-has-begun-on-schedule/,"Today went pretty much how I thought it would go. We rose to the $217 area and then started to move back down. If you were following along today, you know that was most likely the a wave and start of b wave. It is possible that was all of iv but doubtful. I expect us to drop to around the $207-$209 area before popping back up for our C wave of iv. If this plays out according, I am going to buy some puts for our wave v of (3) down. If I get the chance, I may buy some calls for this c wave but it depends on my assignment.   I work tomorrow and most likely won't be able to update very much. I will do what I can. If you have questions, feel free to refer back to my previous posts linked in the bottom or ask them on here. Give the post a like if y'all find my information useful. That's how I get the most/best outreach is when y'all like and follow me. Good luck!   Bonam Fortunam,   --Tyler"
2023-10-25 12:55:04,https://www.tradingview.com/chart/chart/SPY/QDLUYScb-Spy/,"Last post I went over the tech sectors mostly to show how they were rolling  over. Fast forward and they are still rolling over  but I think we get a 2-3% pop before we continue that slide.   Here's my reason   IXIC or Nasdaq composite  represents  the entire tech unlike NDX/QQQ which represents  only the top 100.   Late Friday  we flush within 40 points of trendline support  and Close right on top of daily 200ema.   When Monday comes if we open up above 12,900 I want to buy the dip in tech for an anticipated  2% pop in the coming week.   Vix daily chart   Closed outside weekly bollingerband   Closed out side daily bollingerbands  2 days in a row.   This type of overextension is not sustainable  on the vix. Hourly CCI is at levels where you could easily see 20% pullback   Also possible  rising wedge formed   Closed  at .5 or 50% retracement  on fib, which is 21.74  resistance   I'd like to see Vix stay below 22 to be bullish on equities   10yr/TNX   Finished  Thursday  with a hangman on the daily,  followed with more pullback on Friday.   We are about 6% extended from the 21ema. Usually  at between 5-7% extended the 10yr returns back to test the 21ema (White line)   Spy 30 Min chart  I wanted to break down The time frame to show you the price action and pattern that has formed   Remember,  anything that sells off really quick usually  forms a bullish falling wedge and if it rises fast it forms a bearish rising Wedge.   Here you can see the rising wedge formed  that i think will take us back to 428,-430.   There's so much resistance  in that  area that you have to pause on any higher targets until spy closes over 432 again.   1. Fib resistance   2. Price action resistance   3. 20sma and 21ema resistance   U see where I circled? That was a fake breakout when Powell  was speaking Thursday.   The green arrow is where we rejected at  on fridays rebound before flushing to 421.   I know I always go over  how over sold the money flow or MFI is on The ES and NQ but now it's also severely  oversold on SPY 3-4 hour money flow.   The last 3 times spy went this oversold on the 4hour money flow these moves followed within the next 2 trading sessions   March 15th 2023   Spy 384   March 16th - Spy 396   3% pop   Nov 3rd 2022   Spy 369   Nov 4th 2022   Spy 378   2%pop   Sept 27th 2022   Spy 361   Sept 28th 2022   Spy 372   3% pop.   So if I'm right we should start moving higher by Tuesday.   I'll  post my long term bear view  along with DOW, NYSE, XLV, QQQ and XLF   Tomorrow"
2023-10-24 05:09:53,https://www.tradingview.com/chart/chart/MSFT/nNdMGg9J-MSFT-Implied-move-for-earnings/,"MSFT   Implied move for earnings   WOW the MSFT chart is beautiful.  I havent looked at it in a few weeks and something about it is calming to my mind   This is not an in depth anlysis this is just the implied move for earnings. Which is 312.5 to 346. and RSI is right in the middle...   But I might have to spend a little more time on this chart in the next few days.   Happy trading, yall"
2023-10-24 04:46:39,https://www.tradingview.com/chart/chart/GOOGL/AK52es4B-GOOGL-Implied-move-for-earnings/,"GOOGL   Implied move for earnings   As of right now, the implied move for GOOGL earnings is wide.  It might shift a little bit with tomorrows trading session but Ill update this idea about an hour to market close.   The implied move is between 129 to 144   And right now the 30min 200 is resistance, and shes been making lower highs   One the 1D timeframe there is a severe bearish divergence and the YTD volume profile points to lower 105 (obviously out of tomorrow's range but it's down there)"
2023-10-24 17:42:58,https://www.tradingview.com/chart/chart/SPY/Ki4ueHOS-SPY-Short-Expecting-Wave-3-of-3-crash/,"On the chart, there are a couple of developments that I want to point out to draw a bearish scenario:   1. Cutting of trendline with 2 days of heavy volume.   2. MACD turning down below the 0 line and cutting the signal line.   My analysis is based on my Elliott Wave Counts and also on study of a few underlying stocks like AMZN, TSLA, and NVDA (the more obvious bearish technical setup)."
2023-10-24 20:11:07,https://www.tradingview.com/chart/chart/GOOGL/mNTf2bkL-Google-earnings-tomorrow/,"Alphabet Q3 September 2023 earnings are on Tuesday 10/24/23 at 4pm. Alphabet (GOOGL) reported earnings of 1.44 per share on revenue of 74.6 billion for the second quarter ending June 2023. The consensus earnings estimate was 1.32 per share on revenue of 72.77 billion. The company beat expectations by 4.35% while revenue grew 7.06% on a year-over-year basis.   Q3 September 2023 Consensus:   EPS = 1.45   Revenue: 75.91B   Moving averages:   VWMA 50 = 134.16   VWMA100 = 128.53   VWMA200 = 113.08   TTCATR20:   R3 = 145.38   SMA20 = 135.67   S3 = 125.96   Options data:   10/27 expiry   Put Volume Total 11,785   Call Volume Total 35,522   Put/Call Volume Ratio 0.33   Put Open Interest Total 45,954   Call Open Interest Total 69,755   Put/Call Open Interest Ratio 0.66   11/03 expiry   Put Volume Total 1,887   Call Volume Total 4,703   Put/Call Volume Ratio 0.40   Put Open Interest Total 14,808   Call Open Interest Total 18,971   Put/Call Open Interest Ratio 0.78   11/10 expiry   Put Volume Total 947   Call Volume Total 1,308   Put/Call Volume Ratio 0.72   Put Open Interest Total 7,864   Call Open Interest Total 12,607   Put/Call Open Interest Ratio 0.62   11/17 expiry:   Put Volume Total 6,291   Call Volume Total 17,778   Put/Call Volume Ratio 0.35   Put Open Interest Total 136,564   Call Open Interest Total 139,669   Put/Call Open Interest Ratio 0.98"
2023-10-24 21:30:45,https://www.tradingview.com/chart/chart/NVDA/9u14UCrl-NVDA-Going-down-soon/,Throwing this out here for my record to see where the stock goes in the next couple weeks.
2023-10-24 15:05:55,https://www.tradingview.com/chart/chart/MARA/8MWi8uia-MARA-capitulation-then-strong-bounce-to-new-yearly-highs/,"I've been tracking the movement of   MARA   very closely over the past few weeks as I think the setup will end up being one of the best possible trades over the next month or two.   I originally turned bullish on it a bit too early last week, but the chart has become clearer over the past week or so as it hasn't been able to gain any strength.   From here, I think we'll see a capitulation in price over the next week going into the lower support area (buy zone).   From there, I think we'll see a very strong upside move in September that pushes price all the way up to the upper resistance (sell zone).   If you're able to trade it perfectly, it would setup a potential return of somewhere between 2x-3x (hence why I think it's one of the best trades).   Let's see if it plays out."
2023-10-24 15:00:52,https://www.tradingview.com/chart/chart/SPY/muVbWU1B-spy-short/,looking to get in $427.90/426.26 take profit @ $417.74 tp@ $415.27 Target 413.02 possible!   still in a downtrend and oversold retracement fib 61.8 % could see target @ 407.50 tp this week or next
2023-10-24 17:13:16,https://www.tradingview.com/chart/chart/SPY/pO7uKheT-spy/,buying @ $421.19/$421.15 tp $425.29 then sell 425.29
